[   5000] Loss: 145.42151 time: (825.4, 350.3) vloss: 196.315 CER: 0.9879 NER: 0.9896 lr: 0.00938 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9899, B: 0.00
[  10000] Loss: 130.53168 time: (961.2, 329.8) vloss: 192.835 CER: 0.9890 NER: 0.9910 lr: 0.00880 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9899, B: 0.00
[  15000] Loss: 129.41195 time: (965.2, 332.2) vloss: 191.522 CER: 0.9902 NER: 0.9921 lr: 0.00825 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9899, B: 0.00
[  20000] Loss: 127.04383 time: (946.3, 337.1) vloss: 188.823 CER: 0.9861 NER: 0.9866 lr: 0.00774 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9899, B: 0.00
[  25000] Loss: 113.30293 time: (975.4, 343.2) vloss: 163.201 CER: 0.7663 NER: 0.7808 lr: 0.00726 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.7716, B: 0.31
[  30000] Loss: 92.87157 time: (1041.6, 346.4) vloss: 138.459 CER: 0.6598 NER: 0.6711 lr: 0.00681 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.6302, B: 2.73
[  35000] Loss: 78.89676 time: (861.8, 321.4) vloss: 121.469 CER: 0.5869 NER: 0.5962 lr: 0.00639 bAcc: 0.1, bNER: 1000000.0000, bCER: 0.5343, B: 6.56
[  40000] Loss: 70.96520 time: (858.1, 322.0) vloss: 109.747 CER: 0.5491 NER: 0.5567 lr: 0.00599 bAcc: 0.2, bNER: 1000000.0000, bCER: 0.4860, B: 9.85
[  45000] Loss: 64.93145 time: (872.1, 324.9) vloss: 102.194 CER: 0.5211 NER: 0.5273 lr: 0.00562 bAcc: 0.3, bNER: 1000000.0000, bCER: 0.4584, B: 12.64
[  50000] Loss: 60.83327 time: (864.2, 325.6) vloss: 95.850 CER: 0.4957 NER: 0.4990 lr: 0.00527 bAcc: 0.4, bNER: 1000000.0000, bCER: 0.4330, B: 15.31
[  55000] Loss: 57.11807 time: (868.1, 325.7) vloss: 90.766 CER: 0.4752 NER: 0.4765 lr: 0.00495 bAcc: 0.6, bNER: 1000000.0000, bCER: 0.4089, B: 18.20
[  60000] Loss: 54.59221 time: (864.1, 326.2) vloss: 86.657 CER: 0.4582 NER: 0.4579 lr: 0.00464 bAcc: 0.8, bNER: 1000000.0000, bCER: 0.3946, B: 20.34
[  65000] Loss: 51.73616 time: (861.9, 328.6) vloss: 82.963 CER: 0.4390 NER: 0.4395 lr: 0.00435 bAcc: 0.8, bNER: 1000000.0000, bCER: 0.3784, B: 22.96
[  70000] Loss: 49.49624 time: (874.2, 325.3) vloss: 79.836 CER: 0.4240 NER: 0.4291 lr: 0.00408 bAcc: 0.9, bNER: 1000000.0000, bCER: 0.3623, B: 24.86
[  75000] Loss: 47.62131 time: (860.7, 324.1) vloss: 76.228 CER: 0.4051 NER: 0.4104 lr: 0.00383 bAcc: 1.0, bNER: 1000000.0000, bCER: 0.3481, B: 27.60
[  80000] Loss: 45.75078 time: (901.8, 350.4) vloss: 73.840 CER: 0.3946 NER: 0.3969 lr: 0.00359 bAcc: 1.1, bNER: 1000000.0000, bCER: 0.3389, B: 29.50
[  85000] Loss: 44.13662 time: (944.7, 349.4) vloss: 71.458 CER: 0.3816 NER: 0.3849 lr: 0.00337 bAcc: 1.1, bNER: 1000000.0000, bCER: 0.3275, B: 31.75
[  90000] Loss: 42.42277 time: (972.1, 347.8) vloss: 69.309 CER: 0.3675 NER: 0.3702 lr: 0.00316 bAcc: 1.3, bNER: 1000000.0000, bCER: 0.3192, B: 33.53
[  95000] Loss: 41.36587 time: (967.7, 354.3) vloss: 67.381 CER: 0.3562 NER: 0.3582 lr: 0.00297 bAcc: 1.6, bNER: 1000000.0000, bCER: 0.3077, B: 35.86
[ 100000] Loss: 39.70226 time: (934.5, 332.8) vloss: 65.919 CER: 0.3488 NER: 0.3524 lr: 0.00278 bAcc: 1.6, bNER: 1000000.0000, bCER: 0.3007, B: 36.74
[ 105000] Loss: 39.05445 time: (885.0, 333.8) vloss: 64.115 CER: 0.3391 NER: 0.3431 lr: 0.00261 bAcc: 1.7, bNER: 1000000.0000, bCER: 0.2913, B: 38.07
[ 110000] Loss: 37.44363 time: (895.5, 332.7) vloss: 63.059 CER: 0.3325 NER: 0.3374 lr: 0.00245 bAcc: 1.7, bNER: 1000000.0000, bCER: 0.2829, B: 39.13
[ 115000] Loss: 36.94992 time: (885.4, 335.3) vloss: 61.792 CER: 0.3252 NER: 0.3283 lr: 0.00230 bAcc: 1.9, bNER: 1000000.0000, bCER: 0.2772, B: 40.74
[ 120000] Loss: 35.28588 time: (887.4, 335.6) vloss: 60.822 CER: 0.3211 NER: 0.3254 lr: 0.00215 bAcc: 1.9, bNER: 1000000.0000, bCER: 0.2730, B: 41.25
[ 125000] Loss: 34.66467 time: (888.3, 334.5) vloss: 59.283 CER: 0.3125 NER: 0.3182 lr: 0.00202 bAcc: 1.9, bNER: 1000000.0000, bCER: 0.2661, B: 42.58
[ 130000] Loss: 33.48333 time: (882.1, 332.9) vloss: 58.284 CER: 0.3063 NER: 0.3106 lr: 0.00190 bAcc: 2.1, bNER: 1000000.0000, bCER: 0.2608, B: 43.75
[ 135000] Loss: 32.77627 time: (890.1, 333.5) vloss: 56.959 CER: 0.2967 NER: 0.3034 lr: 0.00178 bAcc: 2.1, bNER: 1000000.0000, bCER: 0.2550, B: 45.17
[ 140000] Loss: 31.69956 time: (882.4, 333.0) vloss: 55.763 CER: 0.2927 NER: 0.2998 lr: 0.00167 bAcc: 2.2, bNER: 1000000.0000, bCER: 0.2507, B: 45.98
[ 145000] Loss: 30.79666 time: (877.7, 333.6) vloss: 54.833 CER: 0.2862 NER: 0.2906 lr: 0.00156 bAcc: 2.4, bNER: 1000000.0000, bCER: 0.2466, B: 46.99
[ 150000] Loss: 30.56005 time: (882.4, 334.0) vloss: 54.180 CER: 0.2830 NER: 0.2892 lr: 0.00147 bAcc: 2.4, bNER: 1000000.0000, bCER: 0.2397, B: 47.53
[ 155000] Loss: 29.31363 time: (877.6, 329.0) vloss: 53.203 CER: 0.2783 NER: 0.2873 lr: 0.00138 bAcc: 2.6, bNER: 1000000.0000, bCER: 0.2359, B: 48.04
[ 160000] Loss: 28.80639 time: (870.6, 330.3) vloss: 52.042 CER: 0.2715 NER: 0.2785 lr: 0.00129 bAcc: 2.7, bNER: 1000000.0000, bCER: 0.2314, B: 49.06
[ 165000] Loss: 27.64281 time: (868.5, 329.5) vloss: 51.245 CER: 0.2665 NER: 0.2738 lr: 0.00121 bAcc: 2.8, bNER: 1000000.0000, bCER: 0.2281, B: 50.34
[ 170000] Loss: 27.38488 time: (868.7, 329.3) vloss: 50.305 CER: 0.2610 NER: 0.2657 lr: 0.00114 bAcc: 3.0, bNER: 1000000.0000, bCER: 0.2248, B: 51.14
[ 175000] Loss: 26.42642 time: (868.7, 330.7) vloss: 49.540 CER: 0.2558 NER: 0.2610 lr: 0.00107 bAcc: 3.0, bNER: 1000000.0000, bCER: 0.2211, B: 52.11
[ 180000] Loss: 26.23850 time: (871.9, 329.6) vloss: 48.629 CER: 0.2519 NER: 0.2574 lr: 0.00100 bAcc: 3.0, bNER: 1000000.0000, bCER: 0.2187, B: 53.10
[ 185000] Loss: 24.89137 time: (864.2, 328.1) vloss: 48.015 CER: 0.2484 NER: 0.2555 lr: 0.00094 bAcc: 3.2, bNER: 1000000.0000, bCER: 0.2153, B: 53.35
