[   5000] Loss: 142.70687 time: (822.9, 351.4) vloss: 194.733 CER: 0.9642 NER: 0.9669 lr: 0.00938 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9605, B: 0.00
[  10000] Loss: 130.28347 time: (963.8, 338.2) vloss: 192.375 CER: 0.9660 NER: 0.9683 lr: 0.00880 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9605, B: 0.00
[  15000] Loss: 128.80982 time: (954.5, 341.4) vloss: 190.623 CER: 0.9636 NER: 0.9628 lr: 0.00825 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9605, B: 0.00
[  20000] Loss: 119.50450 time: (950.4, 341.3) vloss: 167.993 CER: 0.8131 NER: 0.8198 lr: 0.00774 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.8426, B: 0.03
[  25000] Loss: 95.34009 time: (970.2, 354.0) vloss: 136.702 CER: 0.6035 NER: 0.6177 lr: 0.00726 bAcc: 0.1, bNER: 1000000.0000, bCER: 0.6230, B: 7.16
[  30000] Loss: 80.73820 time: (1044.1, 355.5) vloss: 116.843 CER: 0.5206 NER: 0.5391 lr: 0.00681 bAcc: 0.1, bNER: 1000000.0000, bCER: 0.5403, B: 14.86
[  35000] Loss: 72.61603 time: (860.3, 356.0) vloss: 104.802 CER: 0.4643 NER: 0.4816 lr: 0.00639 bAcc: 0.1, bNER: 1000000.0000, bCER: 0.4743, B: 21.76
[  40000] Loss: 67.49181 time: (859.2, 354.9) vloss: 98.467 CER: 0.4421 NER: 0.4610 lr: 0.00599 bAcc: 0.2, bNER: 1000000.0000, bCER: 0.4497, B: 24.30
[  45000] Loss: 62.47099 time: (866.1, 357.2) vloss: 91.663 CER: 0.4108 NER: 0.4276 lr: 0.00562 bAcc: 0.2, bNER: 1000000.0000, bCER: 0.4126, B: 28.61
[  50000] Loss: 60.13004 time: (861.9, 357.6) vloss: 87.502 CER: 0.3924 NER: 0.4112 lr: 0.00527 bAcc: 0.3, bNER: 1000000.0000, bCER: 0.3918, B: 31.08
[  55000] Loss: 57.34346 time: (863.9, 358.5) vloss: 83.464 CER: 0.3768 NER: 0.3940 lr: 0.00495 bAcc: 0.3, bNER: 1000000.0000, bCER: 0.3754, B: 33.46
[  60000] Loss: 54.64693 time: (862.9, 359.0) vloss: 80.015 CER: 0.3625 NER: 0.3791 lr: 0.00464 bAcc: 0.4, bNER: 1000000.0000, bCER: 0.3581, B: 35.69
[  65000] Loss: 53.33739 time: (857.8, 365.4) vloss: 76.742 CER: 0.3529 NER: 0.3724 lr: 0.00435 bAcc: 0.4, bNER: 1000000.0000, bCER: 0.3494, B: 36.31
[  70000] Loss: 52.06437 time: (861.2, 358.8) vloss: 75.049 CER: 0.3445 NER: 0.3637 lr: 0.00408 bAcc: 0.5, bNER: 1000000.0000, bCER: 0.3357, B: 38.47
[  75000] Loss: 51.04087 time: (859.8, 359.9) vloss: 73.947 CER: 0.3404 NER: 0.3620 lr: 0.00383 bAcc: 0.5, bNER: 1000000.0000, bCER: 0.3281, B: 38.87
[  80000] Loss: 49.34519 time: (941.5, 368.4) vloss: 71.779 CER: 0.3303 NER: 0.3535 lr: 0.00359 bAcc: 0.5, bNER: 1000000.0000, bCER: 0.3246, B: 39.75
[  85000] Loss: 48.87168 time: (946.2, 387.2) vloss: 70.011 CER: 0.3230 NER: 0.3465 lr: 0.00337 bAcc: 0.5, bNER: 1000000.0000, bCER: 0.3162, B: 41.10
[  90000] Loss: 47.40439 time: (1000.6, 386.1) vloss: 68.972 CER: 0.3199 NER: 0.3403 lr: 0.00316 bAcc: 0.5, bNER: 1000000.0000, bCER: 0.3107, B: 41.68
[  95000] Loss: 46.64370 time: (1123.9, 390.9) vloss: 67.789 CER: 0.3118 NER: 0.3336 lr: 0.00297 bAcc: 0.6, bNER: 1000000.0000, bCER: 0.3041, B: 42.51
[ 100000] Loss: 45.38968 time: (882.6, 363.1) vloss: 66.149 CER: 0.3042 NER: 0.3247 lr: 0.00278 bAcc: 0.6, bNER: 1000000.0000, bCER: 0.3006, B: 43.71
[ 105000] Loss: 44.64312 time: (874.8, 382.8) vloss: 64.794 CER: 0.2968 NER: 0.3185 lr: 0.00261 bAcc: 0.8, bNER: 1000000.0000, bCER: 0.2927, B: 44.57
[ 110000] Loss: 43.45079 time: (880.6, 371.6) vloss: 63.223 CER: 0.2873 NER: 0.3077 lr: 0.00245 bAcc: 0.8, bNER: 1000000.0000, bCER: 0.2855, B: 46.33
[ 115000] Loss: 42.98083 time: (881.7, 370.6) vloss: 62.100 CER: 0.2864 NER: 0.3110 lr: 0.00230 bAcc: 0.8, bNER: 1000000.0000, bCER: 0.2812, B: 45.78
[ 120000] Loss: 41.54810 time: (888.3, 372.9) vloss: 60.571 CER: 0.2781 NER: 0.3009 lr: 0.00215 bAcc: 0.9, bNER: 1000000.0000, bCER: 0.2707, B: 47.19
[ 125000] Loss: 41.06881 time: (881.9, 369.8) vloss: 59.667 CER: 0.2738 NER: 0.2960 lr: 0.00202 bAcc: 0.9, bNER: 1000000.0000, bCER: 0.2668, B: 48.23
[ 130000] Loss: 40.67457 time: (881.0, 374.8) vloss: 58.709 CER: 0.2698 NER: 0.2938 lr: 0.00190 bAcc: 1.1, bNER: 1000000.0000, bCER: 0.2633, B: 48.50
[ 135000] Loss: 40.26387 time: (883.6, 370.9) vloss: 57.755 CER: 0.2646 NER: 0.2857 lr: 0.00178 bAcc: 1.1, bNER: 1000000.0000, bCER: 0.2568, B: 49.73
[ 140000] Loss: 38.64122 time: (875.6, 373.3) vloss: 56.825 CER: 0.2606 NER: 0.2807 lr: 0.00167 bAcc: 1.1, bNER: 1000000.0000, bCER: 0.2551, B: 50.08
[ 145000] Loss: 38.02947 time: (878.4, 373.2) vloss: 56.107 CER: 0.2543 NER: 0.2744 lr: 0.00156 bAcc: 1.3, bNER: 1000000.0000, bCER: 0.2494, B: 51.50
[ 150000] Loss: 37.67356 time: (875.8, 370.6) vloss: 55.064 CER: 0.2492 NER: 0.2675 lr: 0.00147 bAcc: 1.4, bNER: 1000000.0000, bCER: 0.2462, B: 51.83
[ 155000] Loss: 36.34261 time: (872.1, 370.7) vloss: 54.117 CER: 0.2444 NER: 0.2631 lr: 0.00138 bAcc: 1.4, bNER: 1000000.0000, bCER: 0.2405, B: 52.76
[ 160000] Loss: 36.28396 time: (871.1, 369.9) vloss: 53.026 CER: 0.2411 NER: 0.2586 lr: 0.00129 bAcc: 1.5, bNER: 1000000.0000, bCER: 0.2359, B: 53.45
[ 165000] Loss: 35.45380 time: (871.0, 370.3) vloss: 52.300 CER: 0.2388 NER: 0.2587 lr: 0.00121 bAcc: 1.6, bNER: 1000000.0000, bCER: 0.2336, B: 54.00
[ 170000] Loss: 35.03490 time: (870.1, 370.6) vloss: 51.500 CER: 0.2326 NER: 0.2502 lr: 0.00114 bAcc: 1.6, bNER: 1000000.0000, bCER: 0.2308, B: 54.26
[ 175000] Loss: 34.51288 time: (870.9, 371.8) vloss: 50.933 CER: 0.2280 NER: 0.2463 lr: 0.00107 bAcc: 1.7, bNER: 1000000.0000, bCER: 0.2275, B: 55.43
[ 180000] Loss: 33.43602 time: (864.9, 365.8) vloss: 50.095 CER: 0.2243 NER: 0.2433 lr: 0.00100 bAcc: 1.7, bNER: 1000000.0000, bCER: 0.2259, B: 56.13
[ 185000] Loss: 33.51835 time: (867.0, 364.4) vloss: 50.138 CER: 0.2237 NER: 0.2437 lr: 0.00094 bAcc: 1.9, bNER: 1000000.0000, bCER: 0.2225, B: 56.36
[ 190000] Loss: 32.60803 time: (863.1, 366.2) vloss: 49.509 CER: 0.2206 NER: 0.2389 lr: 0.00088 bAcc: 2.0, bNER: 1000000.0000, bCER: 0.2199, B: 56.78
[ 195000] Loss: 32.53204 time: (866.6, 364.5) vloss: 48.892 CER: 0.2171 NER: 0.2355 lr: 0.00083 bAcc: 2.0, bNER: 1000000.0000, bCER: 0.2180, B: 57.21
[ 200000] Loss: 31.78600 time: (863.3, 365.4) vloss: 48.376 CER: 0.2152 NER: 0.2331 lr: 0.00077 bAcc: 2.1, bNER: 1000000.0000, bCER: 0.2166, B: 58.10
[ 205000] Loss: 31.67942 time: (864.8, 365.1) vloss: 47.994 CER: 0.2135 NER: 0.2313 lr: 0.00073 bAcc: 2.1, bNER: 1000000.0000, bCER: 0.2149, B: 58.40
[ 210000] Loss: 30.97893 time: (863.8, 365.7) vloss: 47.766 CER: 0.2121 NER: 0.2307 lr: 0.00068 bAcc: 2.4, bNER: 1000000.0000, bCER: 0.2146, B: 58.73
[ 215000] Loss: 30.35917 time: (865.2, 365.4) vloss: 47.419 CER: 0.2069 NER: 0.2236 lr: 0.00064 bAcc: 2.4, bNER: 1000000.0000, bCER: 0.2126, B: 59.67
