[   5000] Loss: 143.98808 time: (816.1, 343.2) vloss: 195.391 CER: 0.9627 NER: 0.9643 lr: 0.00938 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9557, B: 0.00
[  10000] Loss: 130.07369 time: (957.6, 338.4) vloss: 191.721 CER: 0.9616 NER: 0.9586 lr: 0.00880 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9557, B: 0.00
[  15000] Loss: 127.71455 time: (952.0, 344.6) vloss: 187.763 CER: 0.9509 NER: 0.9505 lr: 0.00825 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.9525, B: 0.00
[  20000] Loss: 105.21396 time: (946.0, 350.6) vloss: 148.539 CER: 0.6835 NER: 0.6941 lr: 0.00774 bAcc: 0.0, bNER: 1000000.0000, bCER: 0.6798, B: 1.70
[  25000] Loss: 82.39843 time: (963.5, 358.7) vloss: 122.562 CER: 0.5808 NER: 0.5879 lr: 0.00726 bAcc: 0.1, bNER: 1000000.0000, bCER: 0.5458, B: 7.57
[  30000] Loss: 71.77527 time: (1039.7, 359.3) vloss: 108.927 CER: 0.5344 NER: 0.5399 lr: 0.00681 bAcc: 0.2, bNER: 1000000.0000, bCER: 0.4749, B: 11.02
[  35000] Loss: 64.25369 time: (856.2, 359.4) vloss: 99.070 CER: 0.4981 NER: 0.5032 lr: 0.00639 bAcc: 0.3, bNER: 1000000.0000, bCER: 0.4393, B: 15.13
[  40000] Loss: 59.23644 time: (852.5, 360.7) vloss: 91.579 CER: 0.4640 NER: 0.4674 lr: 0.00599 bAcc: 0.5, bNER: 1000000.0000, bCER: 0.4001, B: 20.11
[  45000] Loss: 55.14697 time: (860.6, 363.3) vloss: 86.526 CER: 0.4384 NER: 0.4400 lr: 0.00562 bAcc: 0.5, bNER: 1000000.0000, bCER: 0.3756, B: 24.08
[  50000] Loss: 52.41717 time: (856.5, 362.2) vloss: 82.443 CER: 0.4177 NER: 0.4199 lr: 0.00527 bAcc: 0.7, bNER: 1000000.0000, bCER: 0.3543, B: 27.12
[  55000] Loss: 49.87514 time: (856.5, 363.4) vloss: 78.367 CER: 0.4002 NER: 0.4061 lr: 0.00495 bAcc: 0.7, bNER: 1000000.0000, bCER: 0.3379, B: 29.14
[  60000] Loss: 47.73883 time: (857.0, 364.2) vloss: 75.465 CER: 0.3827 NER: 0.3891 lr: 0.00464 bAcc: 0.9, bNER: 1000000.0000, bCER: 0.3243, B: 31.98
[  65000] Loss: 45.82323 time: (853.4, 370.8) vloss: 71.841 CER: 0.3655 NER: 0.3700 lr: 0.00435 bAcc: 1.1, bNER: 1000000.0000, bCER: 0.3098, B: 35.29
[  70000] Loss: 43.79592 time: (855.5, 365.2) vloss: 69.421 CER: 0.3523 NER: 0.3584 lr: 0.00408 bAcc: 1.2, bNER: 1000000.0000, bCER: 0.2953, B: 36.79
[  75000] Loss: 42.22875 time: (851.9, 366.0) vloss: 67.000 CER: 0.3386 NER: 0.3450 lr: 0.00383 bAcc: 1.2, bNER: 1000000.0000, bCER: 0.2858, B: 38.98
[  80000] Loss: 40.82716 time: (930.7, 384.2) vloss: 65.146 CER: 0.3289 NER: 0.3353 lr: 0.00359 bAcc: 1.4, bNER: 1000000.0000, bCER: 0.2773, B: 40.53
[  85000] Loss: 40.24882 time: (952.9, 380.1) vloss: 63.495 CER: 0.3185 NER: 0.3282 lr: 0.00337 bAcc: 1.4, bNER: 1000000.0000, bCER: 0.2678, B: 42.08
[  90000] Loss: 38.24407 time: (990.2, 394.8) vloss: 62.029 CER: 0.3081 NER: 0.3162 lr: 0.00316 bAcc: 1.7, bNER: 1000000.0000, bCER: 0.2587, B: 43.60
[  95000] Loss: 37.70207 time: (1105.8, 410.5) vloss: 60.687 CER: 0.3009 NER: 0.3101 lr: 0.00297 bAcc: 1.7, bNER: 1000000.0000, bCER: 0.2524, B: 44.78
[ 100000] Loss: 36.06029 time: (878.0, 369.5) vloss: 59.199 CER: 0.2907 NER: 0.2999 lr: 0.00278 bAcc: 1.7, bNER: 1000000.0000, bCER: 0.2451, B: 46.38
[ 105000] Loss: 35.45998 time: (870.0, 386.8) vloss: 57.849 CER: 0.2838 NER: 0.2924 lr: 0.00261 bAcc: 2.0, bNER: 1000000.0000, bCER: 0.2394, B: 47.78
[ 110000] Loss: 34.01867 time: (875.3, 377.3) vloss: 56.535 CER: 0.2798 NER: 0.2895 lr: 0.00245 bAcc: 2.1, bNER: 1000000.0000, bCER: 0.2330, B: 48.77
[ 115000] Loss: 33.74063 time: (877.2, 376.9) vloss: 54.759 CER: 0.2704 NER: 0.2798 lr: 0.00230 bAcc: 2.4, bNER: 1000000.0000, bCER: 0.2289, B: 50.25
[ 120000] Loss: 32.57431 time: (881.7, 377.9) vloss: 53.746 CER: 0.2664 NER: 0.2750 lr: 0.00215 bAcc: 2.5, bNER: 1000000.0000, bCER: 0.2253, B: 50.95
[ 125000] Loss: 31.66315 time: (878.4, 374.5) vloss: 52.354 CER: 0.2574 NER: 0.2660 lr: 0.00202 bAcc: 2.5, bNER: 1000000.0000, bCER: 0.2220, B: 51.95
[ 130000] Loss: 30.89982 time: (876.8, 377.7) vloss: 51.131 CER: 0.2492 NER: 0.2599 lr: 0.00190 bAcc: 2.6, bNER: 1000000.0000, bCER: 0.2165, B: 53.53
[ 135000] Loss: 30.20987 time: (875.5, 377.8) vloss: 49.755 CER: 0.2422 NER: 0.2527 lr: 0.00178 bAcc: 2.9, bNER: 1000000.0000, bCER: 0.2128, B: 54.69
